Teste_borda,Diametro,Status_Diam,Relacao_A/B,Status_A/B,Superfície
OK,49.82422821044922,OK,0.9989400834768896,OK,OK
OK,49.75178436279297,OK,0.9953244705063302,OK,OK
OK,49.81969512939453,OK,0.9947044941279269,OK,OK
OK,48.87352233886718,NOK,---,---,---
OK,49.64407562255859,OK,0.9916982223919936,OK,OK
NOK,---,---,---,---,---
NOK,---,---,---,---,---
OK,48.34873809814452,NOK,---,---,---
OK,49.96224151611328,OK,0.9989500145382603,OK,OK
OK,49.77954895019531,OK,0.9918931017767049,OK,OK
OK,49.814145202636716,OK,0.996180937594245,OK,OK
OK,49.79616668701171,OK,0.9979217935435122,OK,OK
NOK,---,---,---,---,---
NOK,---,---,---,---,---
OK,49.636190795898436,OK,0.9942770793758912,OK,OK
NOK,---,---,---,---,---
OK,45.7601821899414,NOK,---,---,---
NOK,---,---,---,---,---
NOK,---,---,---,---,---
OK,49.76168579101562,OK,0.9959739759091479,OK,OK
NOK,---,---,---,---,---
OK,49.85785247802734,OK,0.9942384631481324,OK,OK
OK,49.80860809326172,OK,0.9973320216594097,OK,OK
OK,47.75626739501953,NOK,---,---,---
