Numero_da_Peca,Teste_borda,Diametro,Status_Diam,Relacao_A/B,Status_A/B,Superfície
1,NOK,---,---,---,---,---
2,OK,49.75178436279297,OK,0.9953244705063302,OK,OK
3,OK,49.81969512939453,OK,0.9947044941279269,OK,OK
4,OK,48.87352233886718,NOK,---,---,---
5,OK,49.64407562255859,OK,0.9916982223919936,OK,OK
6,NOK,---,---,---,---,---
7,NOK,---,---,---,---,---
8,OK,48.34873809814452,NOK,---,---,---
9,OK,49.96224151611328,OK,0.9989500145382603,OK,OK
10,OK,49.77954895019531,OK,0.9918931017767049,OK,OK
11,OK,49.814145202636716,OK,0.996180937594245,OK,OK
12,OK,49.79616668701171,OK,0.9979217935435122,OK,OK
13,OK,48.088261108398434,NOK,---,---,---
14,NOK,---,---,---,---,---
15,OK,49.636190795898436,OK,0.9942770793758912,OK,OK
16,NOK,---,---,---,---,---
17,OK,45.7601821899414,NOK,---,---,---
18,OK,49.912454528808595,OK,0.997725567938964,OK,OK
19,NOK,---,---,---,---,---
20,OK,49.76168579101562,OK,0.9959739759091479,OK,OK
21,OK,48.27541625976562,NOK,---,---,---
22,OK,49.85785247802734,OK,0.9942384631481324,OK,OK
23,OK,49.80860809326172,OK,0.9973320216594097,OK,OK
24,OK,47.75626739501953,NOK,---,---,---
